"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite","TC_008_addCustomerAndModifyCustomer","addCustomer","restrequest","UNKNOWN","","12-Jun-2020 18_07",
"TestSuite","TC_008_addCustomerAndModifyCustomer","Property Transfer","transfer","OK","Message:Performed transfer [addToModify]
","12-Jun-2020 18_07",
"TestSuite","TC_008_addCustomerAndModifyCustomer","modifyCustomer","restrequest","UNKNOWN","","12-Jun-2020 18_07",
"TestSuite","TC_008_addCustomerAndModifyCustomer","Properties","properties","OK","","12-Jun-2020 18_07",
