"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite","TC_006_getCustomersListFilterByDate","getListOfCustomersFilterByDate","restrequest","UNKNOWN","","12-Jun-2020 17_56",
"TestSuite","TC_007_addNewCustomerAndGetCustomerById","addCustomer","restrequest","UNKNOWN","","12-Jun-2020 17_56",
"TestSuite","TC_007_addNewCustomerAndGetCustomerById","Property Transfer","transfer","OK","Message:Performed transfer [addCustomerToGetCustomer]
","12-Jun-2020 17_56",
"TestSuite","TC_007_addNewCustomerAndGetCustomerById","getCustomerById","restrequest","UNKNOWN","","12-Jun-2020 17_56",
"TestSuite","TC_007_addNewCustomerAndGetCustomerById","Properties","properties","OK","","12-Jun-2020 17_56",
"TestSuite","TC_008_addCustomerAndModifyCustomer","addCustomer","restrequest","UNKNOWN","","12-Jun-2020 17_56",
"TestSuite","TC_008_addCustomerAndModifyCustomer","Properties","properties","OK","","12-Jun-2020 17_56",
